model_name,split,threshold,precision,recall,f1,specificity,approval_rate,true_negative,false_positive,false_negative,true_positive,default_loss_exposure,rejected_good_ead,opportunity_cost_rate_assumption,total_cost_proxy
Logistic Regression,validation,0.56,0.4555873925501432,0.3479212253829322,0.3945409429280397,0.9627961621304092,0.9372753414809488,4917,190,298,159,602290969.8740599,652813893.73,0.02,615347247.74866
Logistic Regression,validation,0.57,0.4658753709198813,0.3435448577680525,0.3954659949622166,0.9647542588603876,0.939432063263839,4927,180,300,157,604120563.4854679,632965071.55,0.02,616779864.9164679
Logistic Regression,validation,0.58,0.4783950617283951,0.3391684901531728,0.3969270166453265,0.966908165263364,0.94176851186197,4938,169,302,155,610647006.763278,613053162.51,0.02,622908070.013478
Logistic Regression,validation,0.59,0.4850498338870432,0.3194748358862144,0.3852242744063324,0.9696495006853338,0.9459022286125088,4952,155,311,146,615477342.5539839,536032553.3899999,0.02,626197993.621784
Logistic Regression,validation,0.6,0.4964788732394366,0.3085339168490153,0.3805668016194332,0.971999216761308,0.9489575844716032,4964,143,316,141,630209505.804238,423677868.55,0.02,638683063.175238
Logistic Regression,validation,0.61,0.4909090909090909,0.2954048140043763,0.3688524590163934,0.9725866457803016,0.9505751258087708,4967,140,322,135,636786585.431116,420171967.44,0.02,645190024.7799159
Logistic Regression,validation,0.62,0.4962406015037593,0.2888402625820569,0.3651452282157676,0.9737615038182886,0.9521926671459382,4973,134,325,132,638046704.4256109,411263916.84,0.02,646271982.7624109
Logistic Regression,validation,0.63,0.5,0.2778993435448578,0.3572433192686357,0.9751321715292736,0.954349388928828,4980,127,330,127,644714253.8658309,364296451.7600001,0.02,652000182.9010309
Logistic Regression,validation,0.64,0.4979919678714859,0.2713347921225383,0.3512747875354107,0.9755237908752692,0.9552480230050324,4982,125,333,124,647351819.040949,341206777.70000005,0.02,654175954.594949
Logistic Regression,validation,0.65,0.5042735042735043,0.2582056892778993,0.341534008683068,0.97728607793225,0.9579439252336448,4991,116,339,118,653120964.002151,327952269.71000004,0.02,659680009.396351
Logistic Regression,validation,0.66,0.5044642857142857,0.2472647702407002,0.3318649045521292,0.978265126297239,0.9597411933860532,4996,111,344,113,659829326.3124919,305297760.04999995,0.02,665935281.5134919
Logistic Regression,validation,0.67,0.5142857142857142,0.2363238512035011,0.3238380809595202,0.9800274133542196,0.9622573687994248,5005,102,349,108,674648273.518601,271215265.53,0.02,680072578.829201
Logistic Regression,validation,0.68,0.5177664974619289,0.2231947483588621,0.3119266055045872,0.9813980810652048,0.9645938173975556,5012,95,355,102,676719760.388926,257147444.23999995,0.02,681862709.273726
Logistic Regression,validation,0.69,0.5243243243243243,0.212253829321663,0.3021806853582554,0.9827687487761896,0.9667505391804456,5019,88,360,97,683709183.3636191,240479006.22,0.02,688518763.4880191
Logistic Regression,validation,0.7,0.5502958579881657,0.2035010940919037,0.2971246006389776,0.9851184648521636,0.969626168224299,5031,76,364,93,691418430.0759811,186340006.5,0.02,695145230.2059811
